"Plot.Size","Site","Species","Plot.No","DBH","H","Count","Remarks","DBHcm"
12.6,"SABAKI","Rhizophora mucronata","1",21.1,0.8,1,NA,2.11
12.6,"SABAKI","Rhizophora mucronata","1",19.2,0.9,1,NA,1.92
12.6,"SABAKI","Rhizophora mucronata","1",22.4,1,1,NA,2.24
12.6,"SABAKI","Ceriops tagal","1",8.2,0.45,1,NA,0.82
12.6,"SABAKI","Bruguiera gymnorhiza","1",14.2,0.54,1,NA,1.42
12.6,"SABAKI","Ceriops tagal","1",9.1,0.54,1,NA,0.91
12.6,"SABAKI","Ceriops tagal","1",11.2,0.44,1,NA,1.12
12.6,"SABAKI","Bruguiera gymnorhiza","1",14.3,0.73,1,NA,1.43
12.6,"SABAKI","Bruguiera gymnorhiza","1",12.2,0.51,1,NA,1.22
12.6,"SABAKI","Ceriops tagal","1",8.3,0.55,1,NA,0.83
12.6,"SABAKI","Ceriops tagal","1",10.2,0.55,1,NA,1.02
12.6,"SABAKI","Ceriops tagal","1",8.2,0.54,1,NA,0.82
12.6,"SABAKI","Rhizophora mucronata","1",31.2,0.9,1,NA,3.12
12.6,"SABAKI","Rhizophora mucronata","1",17.2,0.9,1,NA,1.72
12.6,"SABAKI","Bruguiera gymnorhiza","1",16.4,0.66,1,NA,1.64
12.6,"SABAKI","Bruguiera gymnorhiza","1",NA,NA,1,"Dead",NA
12.6,"SABAKI","Bruguiera gymnorhiza","1",10.2,0.52,1,NA,1.02
12.6,"SABAKI","Bruguiera gymnorhiza","1",13.2,0.65,1,NA,1.32
12.6,"SABAKI","Bruguiera gymnorhiza","1",13.2,0.75,1,NA,1.32
12.6,"SABAKI","Bruguiera gymnorhiza","1",13.2,0.77,1,NA,1.32
12.6,"SABAKI","Rhizophora mucronata","1",14.2,0.87,1,NA,1.42
12.6,"SABAKI","Rhizophora mucronata","1",NA,NA,1,"Dead",NA
12.6,"SABAKI","Bruguiera gymnorhiza","2",7,0.19,1,NA,0.7
12.6,"SABAKI","Bruguiera gymnorhiza","2",7.1,0.41,1,NA,0.71
12.6,"SABAKI","Bruguiera gymnorhiza","2",6.4,0.28,1,NA,0.64
12.6,"SABAKI","Bruguiera gymnorhiza","2",5.9,0.19,1,NA,0.59
